model_index,model_name,lr,dropout,fc1,fc2,final_train_loss,final_val_loss,final_train_acc,final_val_acc,final_val_f1
0,CNN3,0.01,0.2,128,64,1.7003289715613963,1.6430132736952092,0.3903991850767174,0.42188693659281895,0.3440729273826697
1,CNN5,0.01,0.2,128,64,1.5941291198835508,1.4726662639445982,0.43553829502769464,0.47536287242169595,0.40096944470756246
2,CNN3,0.01,0.2,128,128,1.5721130277134943,1.4225518424789627,0.4387215891004011,0.4957983193277311,0.44871325576268734
3,CNN5,0.01,0.2,128,128,1.8852486642136976,1.75148970567151,0.33023492710256575,0.377196333078686,0.3018582207353984
4,CNN3,0.01,0.2,256,64,1.6088766627971391,1.7039912895358547,0.43159101037753866,0.4182582123758594,0.35549442976125806
5,CNN5,0.01,0.2,256,64,1.707880420263442,1.5622774935387946,0.3970841026294009,0.4476699770817418,0.37465988169175307
6,CNN3,0.01,0.2,256,128,1.537714386355181,1.4792135086926548,0.4597949958617177,0.46409472880061114,0.43397414230752307
7,CNN5,0.01,0.2,256,128,1.5695229803892736,1.617943551997541,0.44222321258037817,0.4362108479755539,0.37924848194012384
8,CNN3,0.001,0.2,128,64,1.2995818912425108,1.2632499112711324,0.5363213853695804,0.5595874713521772,0.5507573249525843
9,CNN5,0.001,0.2,128,64,1.062592597278547,1.0981916545273422,0.6328388616540396,0.6270053475935828,0.6327007467111884
10,CNN3,0.001,0.2,128,128,1.285860934582037,1.2170895824366803,0.5450436111287961,0.5710466004583652,0.5582205221312528
11,CNN5,0.001,0.2,128,128,1.0477439346316209,1.6160930108259068,0.6397147768510855,0.49980901451489684,0.4729043443105757
12,CNN3,0.001,0.2,256,64,1.2842179332356591,1.5495666861989463,0.5433246323295347,0.4585561497326203,0.47987813196986473
13,CNN5,0.001,0.2,256,64,1.074336631791235,1.3356620250902984,0.6254536194053607,0.5515660809778457,0.544334645355255
14,CNN3,0.001,0.2,256,128,1.2692052451143625,1.475048974236065,0.5568217991978099,0.4944614209320092,0.5060206973331687
15,CNN5,0.001,0.2,256,128,1.0202530939422514,1.1814587243738022,0.6502196472910168,0.5932009167303285,0.5751052548639104
16,CNN3,0.0001,0.2,128,64,1.523987704878618,1.5686116214924135,0.45654803590755716,0.440794499618029,0.3689325379229483
17,CNN5,0.0001,0.2,128,64,1.0540969310092494,1.1077737163003845,0.6349398357420258,0.6107715813598167,0.6007952380913962
18,CNN3,0.0001,0.2,128,128,1.474688713992432,1.4705399806668868,0.47660278856560767,0.4852941176470588,0.45651047744104856
19,CNN5,0.0001,0.2,128,128,1.0071890594669792,1.160826793101291,0.655312917807347,0.6056149732620321,0.5911150257511061
20,CNN3,0.0001,0.2,256,64,1.4710479125702123,1.4831792086112399,0.4760297956325205,0.4650496562261268,0.4314318446548384
21,CNN5,0.0001,0.2,256,64,1.0045854380852233,1.0819128747201312,0.652829948430636,0.6292971734148205,0.6246364158260785
22,CNN3,0.0001,0.2,256,128,1.4416940075713491,1.3923607744088693,0.4895906283822499,0.5082123758594347,0.4760507277186645
23,CNN5,0.0001,0.2,256,128,0.9693561046205623,1.1705016680033358,0.6654994588400076,0.6157372039724981,0.6036161495158783
