Model,lr,dropout,fc1,fc2,val_acc,val_f1,test_acc,test_f1
CNN3,0.01,0.2,128,64,0.42188693659281895,0.3440729273826697,0.4180672268907563,0.3409192988161549
CNN5,0.01,0.2,128,64,0.47536287242169595,0.40096944470756246,0.47536287242169595,0.4018555246927966
CNN3,0.01,0.2,128,128,0.4957983193277311,0.44871325576268734,0.4893048128342246,0.4438977684155273
CNN5,0.01,0.2,128,128,0.377196333078686,0.3018582207353984,0.37261268143621085,0.30091486527729894
CNN3,0.01,0.2,256,64,0.4182582123758594,0.35549442976125806,0.41787624140565316,0.3545864421267836
CNN5,0.01,0.2,256,64,0.4476699770817418,0.37465988169175307,0.4411764705882353,0.3681553582080394
CNN3,0.01,0.2,256,128,0.46409472880061114,0.43397414230752307,0.4627578304048892,0.4333720232731917
CNN5,0.01,0.2,256,128,0.4362108479755539,0.37924848194012384,0.43315508021390375,0.37679732722675946
CNN3,0.001,0.2,128,64,0.5595874713521772,0.5507573249525843,0.5446906035141329,0.5371428015279692
CNN5,0.001,0.2,128,64,0.6270053475935828,0.6327007467111884,0.6312070282658518,0.6357755559695842
CNN3,0.001,0.2,128,128,0.5710466004583652,0.5582205221312528,0.5731474407944996,0.557997758615524
CNN5,0.001,0.2,128,128,0.49980901451489684,0.4729043443105757,0.5139419404125286,0.48538807505938536
CNN3,0.001,0.2,256,64,0.4585561497326203,0.47987813196986473,0.45817417876241406,0.4771318174380235
CNN5,0.001,0.2,256,64,0.5515660809778457,0.544334645355255,0.5488922841864018,0.5413909225869581
CNN3,0.001,0.2,256,128,0.4944614209320092,0.5060206973331687,0.4957983193277311,0.5073984524623366
CNN5,0.001,0.2,256,128,0.5932009167303285,0.5751052548639104,0.5983575248281131,0.5816449169736182
CNN3,0.0001,0.2,128,64,0.440794499618029,0.3689325379229483,0.4451871657754011,0.37464525791393116
CNN5,0.0001,0.2,128,64,0.6107715813598167,0.6007952380913962,0.621466768525592,0.6099712616974174
CNN3,0.0001,0.2,128,128,0.4852941176470588,0.45651047744104856,0.4763177998472116,0.44373622303042126
CNN5,0.0001,0.2,128,128,0.6056149732620321,0.5911150257511061,0.6174560733384262,0.6044904348516796
CNN3,0.0001,0.2,256,64,0.4650496562261268,0.4314318446548384,0.46524064171123,0.4331279980974474
CNN5,0.0001,0.2,256,64,0.6292971734148205,0.6246364158260785,0.6327349121466769,0.6253840928791344
CNN3,0.0001,0.2,256,128,0.5082123758594347,0.4760507277186645,0.5177616501145913,0.4837064879281708
CNN5,0.0001,0.2,256,128,0.6157372039724981,0.6036161495158783,0.6138273491214667,0.6012561989084652
